cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	C16.0	CAR1	3.334978387458449e-05
2	C20.1n.9;C16.0;C18.2n.6;C20.2n.6	CACP;Tpalpha;Tpbeta;AOX;BIEN;L.FABP;THIOL;CYP4A14;CYP4A10;mHMGCoAS;CPT2;PECI;ALDH3;PMDCI	3.334978387458449e-05
3	C16.0	HPNCL;CBS;ACBP;BSEP	3.334978387458449e-05
4	C18.2n.6;C20.2n.6	HPNCL	3.334978387458449e-05
5	C16.1n.7;C14.0;C18.1n.9;C18.0;C16.1n.9;C18.1n.7;C22.6n.3	SR.BI;GSTpi2;FAT;Ntcp	0.00011678370325655467
6	C14.0;C18.1n.9;C18.0;C16.1n.9;C18.1n.7;C22.6n.3	CYP3A11	0.00011678370325655467
7	C14.0;C18.1n.9;C18.0;C16.1n.9;C18.1n.7;C22.6n.3	SPI1.1	0.0002774197937783446
8	C16.0	CYP3A11	0.00044653043003912063
9	C16.0	FAS;GK	0.00047642944545857113
10	C20.1n.9;C16.0;C18.2n.6;C20.2n.6	Lpin2;CYP27a1;MDR2	0.0005050451960324808
11	C18.0;C16.1n.9	PMDCI	0.0005100730454122693
12	C20.1n.9;C16.0;C18.2n.6;C20.2n.6	GSTa	0.0005403057563890618
13	C18.2n.6;C20.2n.6	BSEP	0.000594484208475667
14	C20.3n.6;C20.4n.6	CAR1;ACOTH;MCAD	0.000712828743411227
15	C18.0;C16.1n.9	CAR1	0.0011372214046265006
16	C18.3n.6	CYP3A11	0.0013319811658380864
17	C18.0	ACOTH	0.0023072978621872836
18	C20.2n.6	G6Pase	0.002486309645266524
19	C22.6n.3	G6Pase	0.002486309645266524
20	C18.2n.6	ACBP	0.0038657479838976384
21	C22.4n.6;C18.3n.6;C22.5n.6	G6Pase	0.0059250163800423335
22	C18.2n.6	LPK;S14;cHMGCoAS;ACC2;PLTP;HMGCoAred;LDLr	0.006016034584799658
23	C18.3n.3	PLTP	0.006442700180211338
24	C20.3n.6	PMDCI	0.0064543638350322875
25	C16.1n.7	ACC2	0.006513341154988194
26	C18.2n.6	FAS;GK	0.007069617050864969
27	C20.3n.9	S14;cHMGCoAS;ACC2;PLTP;HMGCoAred;LDLr	0.008399910050037457
28	C20.3n.6;C20.4n.6;C22.4n.6;C18.3n.6;C22.5n.6	CYP2c29	0.008538155927269886
29	C14.0	PMDCI	0.009769922619950747
30	C16.0	Ntcp	0.009883620754905197
31	C16.0	SPI1.1	0.01046967301512793
32	C20.3n.6	SR.BI	0.011747573146896818
33	C20.3n.6	SPI1.1	0.011747573146896818
34	C18.1n.7	ACC2;PLTP	0.012151497651653154
35	C22.5n.6	MCAD	0.012151497651653154
36	C14.0	PDK4	0.012151497651653154
37	C16.0	G6Pase	0.012151497651653154
38	C20.3n.9	GK	0.012151497651653154
39	C20.3n.6	L.FABP;THIOL	0.012151497651653154
40	C22.5n.3	CYP3A11;G6Pase	0.013442946428253917
41	C20.5n.3	G6Pase	0.013709776913783443
42	C18.3n.3	ACBP;BSEP	0.013709776913783443
43	C20.3n.6;C20.4n.6	Waf1	0.01381587239802759
44	C16.1n.7	i.FABP	0.014700383598805747
45	C18.0;C16.1n.9	Waf1	0.015826481908350346
46	C18.0;C16.1n.9	mHMGCoAS	0.01612782719772926
47	C14.0	ACC2	0.01787957084643565
48	C14.0;C18.1n.9;C18.0;C16.1n.9	apoC3	0.01841157360620335
49	C20.1n.9	PPARa	0.020356468079074645
50	C20.5n.3	LDLr	0.020372809501236214
51	C20.3n.6	GSTpi2	0.020496690007842586
52	C22.4n.6	Lpin	0.021668457855152236
53	C20.3n.9	apoA.I	0.02220029493108035
54	C14.0	CYP4A10	0.022660368292696045
55	C20.3n.6	SIAT4c	0.024495116201273225
56	C16.1n.9	CYP4A10	0.025497762893996898
57	C20.3n.6	CBS	0.026434773281470324
58	C20.1n.9	AM2R	0.02738737077231604
59	C16.0	ACOTH	0.030415972633186864
60	C20.3n.6;C20.4n.6	apoC3	0.030415972633186864
61	C22.5n.6	THB	0.030479906780699076
62	C20.3n.6	Ntcp	0.03124490313767399
63	C18.0;C16.1n.9	PDK4	0.03124490313767399
64	C20.3n.6	ACBP	0.03124490313767399
65	C20.5n.3	GSTpi2	0.03200997500696803
66	C16.1n.7	PDK4	0.03200997500696803
67	C20.5n.3	CYP2c29	0.03311934940662514
68	C18.1n.7	S14	0.03334750294878753
69	C18.3n.3	apoA.I	0.034314372239644356
70	C20.1n.9	CYP3A11	0.0346009961795888
71	C20.1n.9	cMOAT	0.03487241610193047
72	C16.1n.9	UCP2	0.035595473566899724
73	C22.4n.6	GSTmu	0.035870163354753945
74	C18.3n.3	cHMGCoAS	0.03597457519412435
75	C18.1n.7	LDLr	0.03700505757540395
76	C20.3n.6	PDK4	0.03905695520031476
77	C20.3n.9	CYP2c29	0.03905695520031476
78	C16.1n.9	ALDH3	0.04052482424232006
79	C20.3n.6	UCP2	0.04056810928248661
80	C20.2n.6	CYP3A11	0.040842605921575945
81	C22.4n.6	HPNCL	0.040842605921575945
82	C14.0	UCP2	0.041150458497737075
83	C16.1n.9	PECI	0.041150458497737075
84	C16.0	GSTmu	0.042986115925729845
85	C22.4n.6	C16SR	0.043273354477518615
86	C20.3n.6	CYP4A10	0.04352067883925306
87	C16.1n.7	TRb	0.04649745430905644
88	C18.0	SIAT4c	0.048607642827812554
89	C18.1n.7	i.FABP	0.04961534597921145
90	C18.3n.3	L.FABP	0.04961534597921145
